idx,name,label,raw,true_h,exact_h,noisy_h,err_exact,err_noisy
0,X_0,XIIIIIIIIIII,-0.9891213503478509,-0.21558496806470698,-0.21558496806470767,-0.21671931709399164,-6.938893903907228e-16,-0.0011343490292846647
1,X_1,IXIIIIIIIIII,-0.3677866514678832,-0.0801613204319621,-0.08016132043196263,-0.08058780441748954,-5.273559366969494e-16,-0.0004264839855274427
2,X_2,IIXIIIIIIIII,1.2879252612892487,0.28071108385955523,0.2807110838595556,0.2822013848408361,3.885780586188048e-16,0.0014903009812808898
3,X_3,IIIXIIIIIIII,0.1939744191326132,0.042277895365789145,0.04227789536578923,0.042490197860950665,8.326672684688674e-17,0.00021230249516152044
4,X_4,IIIIXIIIIIII,0.9202308996398569,0.20056987855054056,0.20056987855053965,0.19944679028591633,-9.159339953157541e-16,-0.0011230882646242335
5,X_5,IIIIIXIIIIII,0.5771037912572513,0.125783254364555,0.125783254364554,0.12509613303402506,-9.992007221626409e-16,-0.0006871213305299495
6,X_6,IIIIIIXIIIII,-0.6364636463709805,-0.1387210930478657,-0.13872109304786467,-0.13791548895815797,1.0269562977782698e-15,0.0008056040897077288
7,X_7,IIIIIIIXIIII,0.5419522204102933,0.11812175734419379,0.11812175734419292,0.11735285950679196,-8.743006318923108e-16,-0.0007688978374018329
8,X_8,IIIIIIIIXIII,-0.3165954511658161,-0.06900388936606303,-0.06900388936606312,-0.06847148898069562,-9.71445146547012e-17,0.000532400385367407
9,X_9,IIIIIIIIIXII,-0.32238911615896015,-0.07026665361848293,-0.07026665361848285,-0.06976798606095344,8.326672684688674e-17,0.0004986675575294891
10,X_10,IIIIIIIIIIXI,0.09716731867045719,0.02117820354917712,0.02117820354917701,0.021014933761544473,-1.1102230246251565e-16,-0.0001632697876326472
11,X_11,IIIIIIIIIIIX,-1.5259304065189514,-0.33258574172184563,-0.33258574172184496,-0.3356697469918679,6.661338147750939e-16,-0.003084005270022283
12,Z0Z1,ZZIIIIIIIIII,1.1921661041016585,0.25983979760440584,0.25983979760440734,0.26127742766624956,1.4988010832439613e-15,0.0014376300618437199
13,Z1Z2,IZZIIIIIIIII,-0.6710896751741096,-0.14626804500791085,-0.14626804500791132,-0.14704954468109316,-4.718447854656915e-16,-0.0007814996731823065
14,Z2Z3,IIZZIIIIIIII,1.0002694196594604,0.21801475705438078,0.21801475705438114,0.2191413008467738,3.608224830031759e-16,0.00112654379239302
15,Z3Z4,IIIZZIIIIIII,0.1363211238531175,0.02971201169814397,0.029712011698143977,0.02957586185081793,6.938893903907228e-18,-0.00013614984732604127
16,Z4Z5,IIIIZZIIIIII,1.5320330796287964,0.3339158561582923,0.3339158561582915,0.33204618010582565,-7.771561172376096e-16,-0.001869676052466629
17,Z5Z6,IIIIIZZIIIII,-0.6599694137918207,-0.14384431692426486,-0.14384431692426458,-0.1429725561375905,2.7755575615628914e-16,0.0008717607866743637
18,Z6Z7,IIIIIIZZIIII,-0.31179485646991756,-0.0679575707785177,-0.06795757077851759,-0.06755577350807015,1.1102230246251565e-16,0.00040179727044754865
19,Z7Z8,IIIIIIIZZIII,0.337769126558826,0.07361881970985674,0.07361881970985659,0.07312656503376518,-1.5265566588595902e-16,-0.0004922546760915691
20,Z8Z9,IIIIIIIIZZII,-2.2074710981998042,-0.4811316488536077,-0.4811316488536086,-0.47726092225871747,-8.881784197001252e-16,0.003870726594890239
21,Z9Z10,IIIIIIIIIZZI,0.8279214415587369,0.18045047503600709,0.1804504750360067,0.17898129337183427,-3.885780586188048e-16,-0.001469181664172814
22,Z10Z11,IIIIIIIIIIZZ,1.541630394690618,0.3360076488997816,0.33600764889978163,0.33911156172042345,5.551115123125783e-17,0.0031039128206418742
